epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,156.285,0.87381,0.53455,1.20074,0.6503,0.63561,0.61269,0.2789,2.01258,1.44283,2.34526,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,291.412,0.85839,0.51245,1.18366,0.69295,0.58245,0.60988,0.2795,2.00752,1.44279,2.33625,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,438.699,0.85068,0.50506,1.17533,0.70834,0.5991,0.62081,0.27815,1.99734,1.45087,2.32735,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,591.744,0.839,0.49922,1.17237,0.70634,0.6032,0.61694,0.27931,1.99257,1.45292,2.33575,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,751.012,0.82825,0.49112,1.16876,0.69749,0.57848,0.60327,0.27783,1.98785,1.45033,2.33821,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,901.819,0.81791,0.48065,1.15826,0.71519,0.6032,0.62169,0.27943,1.98546,1.46009,2.3465,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,1065.21,0.80713,0.47547,1.14807,0.73129,0.6032,0.61875,0.28009,1.97743,1.44767,2.34425,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,1224.67,0.80499,0.47369,1.14668,0.73816,0.60319,0.62089,0.27868,1.98639,1.45164,2.36014,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,1380.36,0.79696,0.46808,1.13918,0.72503,0.59909,0.61852,0.27753,1.98664,1.43736,2.36505,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,1531.31,0.79361,0.46915,1.13866,0.71336,0.59649,0.61449,0.27506,1.98695,1.43511,2.37194,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
