epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,161.43,1.67572,2.2862,1.82996,0.31979,0.38894,0.2654,0.10539,2.1021,2.50512,2.24895,0.00998325,0.00332775,0.00998325,0.00332775,0.00998325,0.00332775,0.00998325,0.00332775
2,322.683,1.58038,1.80985,1.73472,0.26224,0.34855,0.17615,0.0582,2.28082,2.70072,2.50787,0.0197854,0.00659514,0.0197854,0.00659514,0.0197854,0.00659514,0.0197854,0.00659514
3,475.874,1.65712,1.93597,1.81044,0.32975,0.29128,0.21833,0.07074,2.42931,2.90191,2.53048,0.0293896,0.00979653,0.0293896,0.00979653,0.0293896,0.00979653,0.0293896,0.00979653
4,627.872,1.68291,2.00734,1.84242,0.41495,0.37791,0.3358,0.11963,2.26925,2.40986,2.32036,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,775.931,1.63773,1.89911,1.79975,0.39421,0.38692,0.34747,0.09183,2.39964,2.44381,2.6277,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,927.878,1.59827,1.79893,1.76694,0.41147,0.39335,0.33729,0.11345,2.29438,2.3004,2.38302,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1074.18,1.55689,1.73027,1.73908,0.50719,0.50159,0.4431,0.14827,2.21233,2.32139,2.39781,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1220.16,1.53144,1.67806,1.71774,0.66754,0.41105,0.45505,0.19484,2.0509,2.01605,2.11854,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1366.58,1.49646,1.60138,1.68305,0.62016,0.44048,0.49304,0.21062,1.99309,1.96492,2.10558,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1512.09,1.47912,1.56542,1.66855,0.63497,0.41017,0.50852,0.19099,2.04975,2.03978,2.15749,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1655.33,1.45209,1.51794,1.64895,0.4605,0.4468,0.39685,0.17739,2.0904,2.10906,2.19409,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1799.58,1.45055,1.49942,1.64805,0.59688,0.48348,0.53909,0.22956,1.97547,1.9103,2.12612,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1944.17,1.42643,1.46265,1.62368,0.41623,0.5468,0.49246,0.2282,1.98896,1.8544,2.10638,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2090.76,1.40973,1.43235,1.60479,0.5526,0.47744,0.5013,0.21198,2.03025,1.78612,2.15321,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2236.61,1.39996,1.40376,1.59858,0.5722,0.4341,0.50658,0.22834,1.97848,1.90799,2.08243,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2380.9,1.38497,1.39226,1.58877,0.54279,0.49331,0.52088,0.24581,1.95129,1.83562,2.0841,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2525.42,1.37433,1.3578,1.58114,0.51693,0.54331,0.51904,0.23796,1.99797,1.87921,2.15052,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2669.26,1.36442,1.33581,1.56977,0.6776,0.60494,0.63538,0.2732,2.01487,1.6147,2.17972,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2812.9,1.35183,1.33039,1.56336,0.61688,0.57541,0.59122,0.27773,1.86835,1.60194,2.01951,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2956.85,1.34139,1.31436,1.55118,0.67227,0.50843,0.59546,0.29655,1.91356,1.62673,2.04672,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3101.41,1.33042,1.27942,1.53933,0.72529,0.46017,0.57771,0.25003,1.87977,1.70488,1.98444,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3247.13,1.32658,1.27228,1.53847,0.72025,0.5218,0.61631,0.2732,1.90244,1.65789,2.0344,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3392.76,1.3232,1.25216,1.53596,0.54865,0.6032,0.58728,0.27276,1.9207,1.63254,2.04491,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3539.62,1.30775,1.24823,1.52235,0.68541,0.48256,0.5824,0.26102,1.87351,1.56156,2.04851,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3686.29,1.2918,1.22255,1.51484,0.71442,0.59331,0.62601,0.26584,1.94762,1.4815,2.06072,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3831.32,1.29377,1.20487,1.50196,0.61578,0.61204,0.62124,0.28867,1.82853,1.51601,1.96913,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3976.71,1.28103,1.183,1.49377,0.68069,0.56774,0.62386,0.25585,1.92843,1.55216,2.02063,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4121.69,1.27061,1.16725,1.49198,0.64313,0.69267,0.63067,0.29853,1.9411,1.43601,2.04508,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4265.82,1.26595,1.16597,1.48126,0.72034,0.52006,0.61469,0.28551,1.91629,1.45349,2.02468,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4409.29,1.25418,1.14204,1.47159,0.71418,0.56744,0.64143,0.28044,1.85667,1.48781,2.00281,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
